"","Assault","Intentional homicide","Rape","Robbery","Sexual assault","Sexual violence","Theft"
"Albania",NA,NA,NA,NA,NA,NA,NA
"Austria",43.18,0.73,14.62,51.61,27.24,41.86,1804.77
"Belgium",717.33,1.74,30.52,220.08,70.25,100.77,2106.61
"Bosnia and Herzegovina",13.14,1.4,1.2,NA,NA,NA,295.57
"Bulgaria",40.93,1.99,2.84,50.35,6.53,9.38,680.15
"Croatia",22.92,1.44,3.28,28.93,5.95,9.23,315.49
"Cyprus",21.12,0.85,4.39,19.04,5.25,9.64,203.87
"Czech Republic",172.75,1,5.6,38.41,7.18,12.78,1207.32
"Denmark",31.67,0.89,17.24,60.92,19.08,36.32,4367.02
"England and Wales",661.46,1.14,28.65,137.37,41.87,70.52,2665.85
"Estonia",7.73,5.25,6.08,44.93,7.28,13.35,1894.04
"Finland",36.89,2.22,15.29,28.18,29.26,44.55,1858.08
"Former Yugoslav Republic of Macedonia, the",12.08,1.9,1.36,29.42,NA,NA,264.19
"France",358.67,1.23,15.63,187.19,19.88,35.51,1813.45
"Germany",174.69,0.85,9.44,58.88,35.26,44.7,1491.38
"Greece",9.9,1.58,1.93,54.67,6.17,8.1,1065.88
"Hungary",145.48,1.33,2.46,33.91,4.3,6.76,1608.21
"Iceland",17.95,0.63,30.85,13.22,NA,NA,1548.97
"Ireland",330.55,1.96,10.51,70.25,37.61,48.12,1437.9
"Italy",109.59,0.89,NA,81.09,8.13,NA,1594.9
"Kosovo (under United Nations Security Council Resolution 1244/99)",170.28,4.8,1.49,25.63,4.03,5.53,689.91
"Latvia",57.82,3.3,3.68,50.55,NA,NA,1210.04
"Liechtenstein",214.52,2.79,0,5.57,NA,NA,484.76
"Lithuania",7.8,6.33,6.62,86.79,9.74,16.36,844.37
"Luxembourg",118.71,1.59,13.15,75.09,51.79,64.93,1437.66
"Malta",43.48,0.97,2.66,47.34,19.32,21.98,1876.45
"Montenegro",31.18,2.1,0.81,0.48,6.3,7.11,85.62
"Netherlands",363.68,0.87,10.02,97.29,47.96,57.98,3994.6
"Northern Ireland (UK)",80.66,1.28,27.68,74.99,76.15,103.83,1310.66
"Norway",60.21,0.6,19.31,34.72,31.14,50.45,2831.15
"Poland",28.96,1.15,4.12,50.91,NA,NA,536.3
"Portugal",8.16,1.17,4.01,193.33,16.85,20.86,899.08
"Romania",57.31,1.88,4.18,11.57,2.74,6.92,227.51
"Scotland",104.7,1.91,19,48.74,80.72,99.72,2056.47
"Serbia",19.04,1.56,0.99,49.54,5.21,6.2,217.77
"Slovakia",45.01,1.65,2.17,22.04,NA,NA,775.71
"Slovenia",106.6,0.54,3.08,22.62,19.69,22.77,1412.38
"Spain",53.94,0.86,3.39,181.58,18.02,21.41,311.1
"Sweden",59.89,0.97,58.66,98.7,107.68,166.34,3939.38
"Switzerland",6.25,0.68,6.97,56.59,25.03,32.01,2071.44
"Turkey",304.41,2.43,NA,11.83,NA,NA,286.58
