OfficialNumber,Trade,Power,Tonnage,CrewSize,LogTonnage
1697,Home,NotGiven,44,3,3.784189634
2640,Home,NotGiven,144,6,4.9698133
35052,Home,NotGiven,150,5,5.010635294
62595,Home,Sail,256,8,5.545177444
73742,Home,Steam,739,16,6.605297921
86658,Home,Steam,970,15,6.877296071
92929,Foreign,Steam,2371,23,7.771067086
93086,Home,Steam,309,5,5.733341277
94546,Foreign,Steam,679,13,6.520621128
95757,Home,Sail,26,4,3.258096538
96414,Foreign,Steam,1272,19,7.148345744
99437,Foreign,Steam,3246,33,8.085178748
99495,Home,Steam,1904,19,7.551712215
107004,Home,Steam,357,10,5.877735782
109597,Home,Steam,1080,16,6.98471632
113406,Home,Steam,1027,22,6.93439721
113685,Home,NotGiven,45,2,3.80666249
113689,Home,NotGiven,62,3,4.127134385
114424,Home,Sail,68,2,4.219507705
114433,Foreign,Steam,2507,22,7.826842098
115143,Foreign,Sail,138,2,4.927253685
115149,Home,Steam,502,18,6.21860012
115357,Home,Steam,1501,21,7.313886832
118852,Foreign,Steam,2750,24,7.919356191
123375,Foreign,Steam,192,9,5.257495372
