Smell At Rest,View,Smell After Shaking,Tasting
0.309,0.526,-0.356,-0.669
-0.850,-1.428,-1.170,-0.963
-0.854,-0.721,-0.367,-0.472
-1.833,-2.129,-2.127,-1.838
2.167,0.741,1.329,0.900
-0.260,0.968,0.150,0.905
0.945,0.340,1.024,0.785
-0.122,0.115,0.467,0.421
-0.940,0.290,-0.029,-0.026
-1.314,-0.462,-1.078,-0.582
0.384,-0.014,0.585,0.678
0.586,1.165,0.482,0.567
0.834,0.758,0.868,0.673
0.045,1.336,0.558,0.928
0.584,0.545,0.528,0.713
0.125,-0.289,-0.277,0.025
0.589,0.054,1.085,0.279
-0.525,-0.383,-0.278,-0.157
-1.894,-2.601,-2.581,-3.143
1.063,0.605,0.642,0.171
0.962,0.585,0.547,0.807
